2024-09-14 17:23:46 - INFO - Rank: 38, Title: Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou, Rating: 8.77, Episodes: 1, Type: TV , Aired: Oct 2016 - Dec 2016
2024-09-14 17:23:46 - INFO - Rank: 39, Title: Hajime no Ippo, Rating: 8.77, Episodes: 7, Type: TV , Aired: Oct 2000 - Mar 2002
2024-09-14 17:23:46 - INFO - Rank: 40, Title: Sen to Chihiro no Kamikakushi, Rating: 8.77, Episodes: 1, Type: Movie , Aired: Jul 2001 - Jul 2001
2024-09-14 17:23:46 - INFO - Rank: 41, Title: Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, Rating: 8.76, Episodes: 1, Type: Movie , Aired: Dec 2022 - Dec 2022
2024-09-14 17:23:46 - INFO - Rank: 42, Title: Monogatari Series: Second Season, Rating: 8.76, Episodes: 2, Type: TV , Aired: Jul 2013 - Dec 2013
2024-09-14 17:23:46 - INFO - Rank: 43, Title: Shingeki no Kyojin: The Final Season Part 2, Rating: 8.76, Episodes: 1, Type: TV , Aired: Jan 2022 - Apr 2022
2024-09-14 17:23:46 - INFO - Rank: 44, Title: Vinland Saga, Rating: 8.76, Episodes: 2, Type: TV , Aired: Jul 2019 - Dec 2019
2024-09-14 17:23:46 - INFO - Rank: 45, Title: The First Slam Dunk, Rating: 8.75, Episodes: 1, Type: Movie , Aired: Dec 2022 - Dec 2022
2024-09-14 17:23:46 - INFO - Rank: 46, Title: Cowboy Bebop, Rating: 8.75, Episodes: 2, Type: TV , Aired: Apr 1998 - Apr 1999
2024-09-14 17:23:46 - INFO - Rank: 47, Title: Hibike! Euphonium 3, Rating: 8.74, Episodes: 1, Type: TV , Aired: Apr 2024 - Jun 2024
2024-09-14 17:23:46 - INFO - Rank: 48, Title: Kimetsu no Yaiba: Yuukaku-hen, Rating: 8.74, Episodes: 1, Type: TV , Aired: Dec 2021 - Feb 2022
2024-09-14 17:23:46 - INFO - Rank: 49, Title: Kingdom 4th Season, Rating: 8.74, Episodes: 2, Type: TV , Aired: Apr 2022 - Oct 2022
2024-09-14 17:23:46 - INFO - Rank: 50, Title: Kingdom 5th Season, Rating: 8.73, Episodes: 1, Type: TV , Aired: Jan 2024 - Mar 2024
2024-09-14 17:23:48 - INFO - Thread 1 starting scraping: https://myanimelist.net/topanime.php
2024-09-14 17:23:48 - INFO - Thread 2 starting scraping: https://myanimelist.net/topanime.php?limit=50
2024-09-14 17:23:49 - INFO - Rank: 51, Title: Shiguang Dailiren, Rating: 8.73, Episodes: 1, Type: ONA , Aired: Apr 2021 - Jul 2021
2024-09-14 17:23:49 - INFO - Rank: 52, Title: Ashita no Joe 2, Rating: 8.72, Episodes: 4, Type: TV , Aired: Oct 1980 - Aug 1981
2024-09-14 17:23:49 - INFO - Rank: 53, Title: Mushishi Zoku Shou 2nd Season, Rating: 8.72, Episodes: 1, Type: TV , Aired: Oct 2014 - Dec 2014
2024-09-14 17:23:49 - INFO - Rank: 54, Title: One Piece, Rating: 8.72, Episodes: ?, Type: TV , Aired: Oct 1999 -
