Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
New Initial D Movie: Legend 1 - Kakusei,,,Movie,1.0,,,,,7.80
Planetarian: Hoshi no Hito,,,Movie,1.0,,,,,7.80
Baby Steps,,,TV,2.0,,,,,7.80
Blue Period,,,TV,1.0,,,,,7.80
Break Blade Movie 5: Shisen no Hate,,,Movie,1.0,,,,,7.80
City Hunter 3,,,TV,1.0,,,,,7.80
Crayon Shin-chan,,,TV,,,,,,7.80
Digimon Adventure: Bokura no War Game!,,,Movie,1.0,,,,,7.80
Eikoku Koi Monogatari Emma: Molders-hen,,,TV,1.0,,,,,7.80
Flanders no Inu (Movie),,,Movie,1.0,,,,,7.80
Free! Movie 5: The Final Stroke - Kouhen,,,Movie,1.0,,,,,7.80
Hidamari Sketch x ☆☆☆ Specials,,,Special,2.0,,,,,7.80
InuYasha Movie 3: Tenka Hadou no Ken,,,Movie,1.0,,,,,7.80
Shadows House,,,TV,1.0,,,,,7.80
Shingeki no Kyojin Movie 1: Guren no Yumiya,,,Movie,1.0,,,,,7.80
Slayers Try,,,TV,2.0,,,,,7.80
Tensei shitara Slime Datta Ken 3rd Season,,,TV,2.0,,,,,7.80
Yamada-kun to Lv999 no Koi wo Suru,,,TV,1.0,,,,,7.80
Taishou Otome Otogibanashi,,,TV,1.0,,,,,7.79
Tamayura: Sotsugyou Shashin Part 3 - Akogare,,,Movie,1.0,,,,,7.79
The Last: Naruto the Movie,,,Movie,1.0,,,,,7.79
Tokyo Ghoul,,,TV,1.0,,,,,7.79
Wan Sheng Jie 4,,,ONA,1.0,,,,,7.79
Wolf's Rain,,,TV,2.0,,,,,7.79
Wu Dong Qian Kun 4th Season,,,ONA,1.0,,,,,7.79
Yuukoku no Moriarty OVA,,,OVA,2.0,,,,,7.79
Jormungand,,,TV,1.0,,,,,7.79
Kuroko no Basket: Tip Off,,,Special,1.0,,,,,7.79
Little Witch Academia,,,Movie,1.0,,,,,7.79
Maria-sama ga Miteru 3rd,,,OVA,5.0,,,,,7.79
Meitantei Conan Movie 07: Meikyuu no Crossroad,,,Movie,1.0,,,,,7.79
Meitantei Conan Movie 09: Suihei Senjou no Strategy,,,Movie,1.0,,,,,7.79
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,,,Special,1.0,,,,,7.79
Saint☆Oniisan (Movie),,,Movie,1.0,,,,,7.79
Aggressive Retsuko (ONA) 3rd Season,,,ONA,1.0,,,,,7.79
Akage no Anne,,,TV,5.0,,,,,7.79
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,,,TV,,,,,,7.79
Emiya-san Chi no Kyou no Gohan,,,ONA,1.0,,,,,7.79
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,,,TV,1.0,,,,,7.79
Go! Princess Precure,,,TV,5.0,,,,,7.79
Gochuumon wa Usagi desu ka?? Dear My Sister,,,Movie,1.0,,,,,7.79
Igano Kabamaru,,,TV,2.0,,,,,7.79
Inu-Ou,,,Movie,1.0,,,,,7.79
Isekai Ojisan,,,TV,1.0,,,,,7.79
Aikatsu! 10th Story: Mirai e no Starway (2023),,,Movie,1.0,,,,,7.78
Bishoujo Senshi Sailor Moon Cosmos Movie,,,Movie,2.0,,,,,7.78
Chuan Shu Zijiu Zhinan,,,ONA,1.0,,,,,7.78
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,,,OVA,1.0,,,,,7.78
Coquelicot-zaka kara,,,Movie,1.0,,,,,7.78
Digimon Adventure,,,TV,5.0,,,,,7.78
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,,,OVA,7.0,,,,,7.78
"Haikyuu!! vs. ""Akaten""",,,OVA,1.0,,,,,7.78
Heike Monogatari,,,TV,1.0,,,,,7.78
Innocence,,,Movie,1.0,,,,,7.78
Jin-Rou,,,Movie,1.0,,,,,7.78
Shiguang Dailiren Fanwai Pian: Biwu Zhaoqin,,,ONA,1.0,,,,,7.78
Shin Kidou Senki Gundam Wing: Endless Waltz Tokubetsu-hen,,,Movie,1.0,,,,,7.78
Shingeki no Kyojin: Chronicle,,,Movie,1.0,,,,,7.78
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,,,Movie,1.0,,,,,7.78
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,,,Movie,1.0,,,,,7.78
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,,,TV,1.0,,,,,7.78
Jungle wa Itsumo Hare nochi Guu Deluxe,,,OVA,6.0,,,,,7.78
Kekkai Sensen & Beyond,,,TV,1.0,,,,,7.78
Last Exile,,,TV,2.0,,,,,7.78
Macross F Movie 1: Itsuwari no Utahime,,,Movie,1.0,,,,,7.78
Meitantei Conan Movie 12: Senritsu no Full Score,,,Movie,1.0,,,,,7.78
Mind Game,,,Movie,1.0,,,,,7.78
Psycho-Pass 3: First Inspector,,,ONA,3.0,,,,,7.78
Seikai no Senki II,,,TV,1.0,,,,,7.78
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,,TV,3.0,,,,,7.77
Lupin III: Part II,,,TV,1.0,,,,,7.77
Magic Kaito,,,TV,,,,,,7.77
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,,,Movie,1.0,,,,,7.77
Saiyuuki Gaiden,,,OVA,3.0,,,,,7.77
Seitokai Yakuindomo Movie 2,,,Movie,1.0,,,,,7.77
Beastars 2nd Season,,,TV,1.0,,,,,7.77
Break Blade Movie 3: Kyoujin no Ato,,,Movie,1.0,,,,,7.77
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",,,Special,1.0,,,,,7.77
Ginga Tetsudou 999,,,TV,1.0,,,,,7.77
Gochuumon wa Usagi desu ka??,,,TV,1.0,,,,,7.77
Hadashi no Gen,,,Movie,1.0,,,,,7.77
Hoozuki no Reitetsu,,,TV,1.0,,,,,7.77
"Tadaima, Okaeri",,,TV,1.0,,,,,7.77
Tomo-chan wa Onnanoko!,,,TV,1.0,,,,,7.77
Turn A Gundam,,,TV,5.0,,,,,7.77
Undead Unluck,,,TV,2.0,,,,,7.77
Wind Breaker,,,TV,1.0,,,,,7.77
Yuru Yuri Nachuyachumi!+,,,TV,,,,,,7.77
Tentai Senshi Sunred,,,TV,2.0,,,,,7.76
Texhnolyze,,,TV,2.0,,,,,7.76
Tonikaku Kawaii: Joshikou-hen,,,ONA,4.0,,,,,7.76
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),,,Movie,1.0,,,,,7.76
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,,,TV,1.0,,,,,7.76
Love Live! School Idol Project 2nd Season,,,TV,1.0,,,,,7.76
Lupin III vs. Meitantei Conan,,,TV,,,,,,7.76
Lupin the Third: Mine Fujiko to Iu Onna,,,TV,1.0,,,,,7.76
Mahoutsukai no Yome Season 2,,,TV,1.0,,,,,7.76
Meitantei Conan Movie 24: Hiiro no Dangan,,,Movie,1.0,,,,,7.76
Pokemon XY&Z,,,TV,4.0,,,,,7.76
Princess Connect! Re:Dive Season 2,,,TV,1.0,,,,,7.76
Ranma ½,,,TV,1.0,,,,,7.76
Saenai Heroine no Sodatekata ♭,,,TV,1.0,,,,,7.76
Saint Seiya,,,TV,1.0,,,,,7.76
Saint Seiya: Meiou Hades Meikai-hen,,,OVA,1.0,,,,,7.76
Saraiya Goyou,,,TV,1.0,,,,,7.76
Akagami no Shirayuki-hime,,,TV,1.0,,,,,7.76
Aria the Crepuscolo,,,Movie,1.0,,,,,7.76
Bishoujo Senshi Sailor Moon Crystal Season III,,,TV,1.0,,,,,7.76
Bocchi the Rock! Movie,,,Movie,2.0,,,,,7.76
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,,,OVA,1.0,,,,,7.76
Date A Live IV,,,TV,1.0,,,,,7.76
Edogawa Conan Shissou Jiken: Shijou Saiaku no Futsukakan,,,TV,,,,,,7.76
Gochuumon wa Usagi desu ka?? Sing for You,,,OVA,1.0,,,,,7.76
Hibike! Euphonium Movie 3: Chikai no Finale,,,Movie,1.0,,,,,7.76
Hidamari Sketch x SP,,,TV,,,,,,7.76
Charlotte,,,TV,1.0,,,,,7.75
Devilman: Crybaby,,,ONA,1.0,,,,,7.75
Dragon Ball Kai,,,TV,9.0,,,,,7.75
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,,,Movie,1.0,,,,,7.75
Gakkou no Kaidan,,,TV,1.0,,,,,7.75
Gakuen Babysitters Special,,,Special,1.0,,,,,7.75
High Score Girl,,,TV,1.0,,,,,7.75
Shiki Specials,,,Special,2.0,,,,,7.75
Tianbao Fuyao Lu 2nd Season,,,ONA,1.0,,,,,7.75
Zan Sayonara Zetsubou Sensei Bangaichi,,,OVA,2.0,,,,,7.75
Kidou Senshi Gundam,,,TV,4.0,,,,,7.75
Kidou Senshi Gundam III: Meguriai Sora-hen,,,Movie,1.0,,,,,7.75
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,,,OVA,8.0,,,,,7.75
Kumichou Musume to Sewagakari,,,TV,1.0,,,,,7.75
Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,,,Movie,1.0,,,,,7.75
Lucky☆Star,,,TV,2.0,,,,,7.75
Maria-sama ga Miteru 4th,,,TV,1.0,,,,,7.75
Meitantei Conan OVA 10: Kid in Trap Island,,,OVA,1.0,,,,,7.75
Overlord II,,,TV,1.0,,,,,7.75
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,,,Movie,1.0,,,,,7.75
Seitokai Yakuindomo OVA,,,OVA,8.0,,,,,7.75
Sekaiichi Hatsukoi: Valentine-hen,,,Movie,1.0,,,,,7.75
Kidou Senshi Gundam SEED,,,TV,5.0,,,,,7.74
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,,,Movie,1.0,,,,,7.74
Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,,,Movie,1.0,,,,,7.74
Kuroko no Basket: Last Game NG-shuu,,,Special,1.0,,,,,7.74
Liang Bu Yi,,,ONA,2.0,,,,,7.74
Little Witch Academia: Mahoujikake no Parade,,,Movie,1.0,,,,,7.74
Mairimashita! Iruma-kun,,,TV,2.0,,,,,7.74
Ni Tian Xieshen,,,ONA,3.0,,,,,7.74
Saiyuuki Reload: Burial,,,OVA,3.0,,,,,7.74
BanG Dream! Garupa☆Pico,,,ONA,2.0,,,,,7.74
Bishoujo Senshi Sailor Moon,,,TV,4.0,,,,,7.74
Bishoujo Senshi Sailor Moon Eternal Movie 2,,,Movie,1.0,,,,,7.74
City Hunter '91,,,TV,1.0,,,,,7.74
Colorful (Movie),,,Movie,1.0,,,,,7.74
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,,,TV,1.0,,,,,7.74
Fate/Grand Carnival,,,OVA,4.0,,,,,7.74
Free! Movie 4: The Final Stroke - Zenpen,,,Movie,1.0,,,,,7.74
Free! Take Your Marks,,,Movie,1.0,,,,,7.74
Genshiken 2,,,TV,1.0,,,,,7.74
Ghost Hunt,,,TV,2.0,,,,,7.74
Golden Time,,,TV,2.0,,,,,7.74
Grisaia no Rakuen,,,TV,1.0,,,,,7.74
Gundam Build Fighters,,,TV,2.0,,,,,7.74
Higashi no Eden,,,TV,1.0,,,,,7.74
Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,,,ONA,2.0,,,,,7.74
InuYasha: Kuroi Tessaiga,,,Special,1.0,,,,,7.74
Shokugeki no Souma: Shin no Sara,,,TV,1.0,,,,,7.74
Taiyou no Ko Esteban,,,TV,3.0,,,,,7.74
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,,,Movie,1.0,,,,,7.74
Udon no Kuni no Kiniro Kemari,,,TV,1.0,,,,,7.74
Watashi no Shiawase na Kekkon,,,TV,1.0,,,,,7.74
Shaman King,,,TV,6.0,,,,,7.73
Shin Kidou Senki Gundam Wing: Endless Waltz,,,OVA,3.0,,,,,7.73
Tantei Gakuen Q,,,TV,4.0,,,,,7.73
Toshokan Sensou: Kakumei no Tsubasa,,,Movie,1.0,,,,,7.73
Zhu Xian 2nd Season,,,ONA,2.0,,,,,7.73
JoJo no Kimyou na Bouken: Phantom Blood,,,Movie,1.0,,,,,7.73
Kageki Shoujo!!,,,TV,1.0,,,,,7.73
Kokoro Connect,,,TV,1.0,,,,,7.73
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,,,Movie,1.0,,,,,7.73
Master Keaton OVA,,,OVA,1.0,,,,,7.73
Meitantei Conan Movie 19: Gouka no Himawari,,,Movie,1.0,,,,,7.73
Migi to Dali,,,TV,1.0,,,,,7.73
Panty & Stocking with Garterbelt,,,TV,1.0,,,,,7.73
Pokemon: The Origin,,,TV,,,,,,7.73
Ranma ½ OVA,,,OVA,6.0,,,,,7.73
Aggressive Retsuko (ONA) 2nd Season,,,ONA,1.0,,,,,7.73
Ani ni Tsukeru Kusuri wa Nai! 2,,,TV,2.0,,,,,7.73
BanG Dream! Garupa☆Pico: Oomori,,,ONA,2.0,,,,,7.73
Bishoujo Senshi Sailor Moon R,,,TV,4.0,,,,,7.73
Black Jack,,,OVA,1.0,,,,,7.73
Change!! Getter Robo: Sekai Saigo no Hi,,,OVA,1.0,,,,,7.73
Claymore,,,TV,2.0,,,,,7.73
Dragon Quest: Dai no Daibouken (2020),,,TV,1.0,,,,,7.73
Fanren Xiu Xian Chuan: Xinghai Feichi Pian Xuzhang,,,ONA,4.0,,,,,7.73
Inazuma Eleven,,,TV,1.0,,,,,7.73
BanG Dream! Movie: Episode of Roselia - I: Yakusoku,,,Movie,1.0,,,,,7.72
Bishoujo Senshi Sailor Moon R: The Movie,,,Movie,1.0,,,,,7.72
Boku no Kokoro no Yabai Yatsu: Twi-Yaba,,,ONA,1.0,,,,,7.72
Da Zhu Zai Nian Fan,,,ONA,5.0,,,,,7.72
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",,,TV,1.0,,,,,7.72
Fanren Xiu Xian Chuan,,,ONA,1.0,,,,,7.72
Free! Movie 3: Road to the World - Yume,,,Movie,1.0,,,,,7.72
Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,,,OVA,1.0,,,,,7.72
Given Movie 2: Hiiragi Mix,,,Movie,1.0,,,,,7.73
Hataraku Maou-sama!,,,TV,1.0,,,,,7.72
Hibike! Euphonium: Ensemble Contest-hen,,,Movie,1.0,,,,,7.72
Hidamari Sketch x 365 Specials,,,Special,3.0,,,,,7.72
Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,,,Movie,1.0,,,,,7.72
Isekai no Seikishi Monogatari,,,OVA,1.0,,,,,7.72
Shiki,,,TV,2.0,,,,,7.72
Sidonia no Kishi: Daikyuu Wakusei Seneki,,,TV,1.0,,,,,7.72
Slayers,,,TV,2.0,,,,,7.72
Tomodachi Game,,,TV,1.0,,,,,7.72
Tonikaku Kawaii: Seifuku,,,Special,1.0,,,,,7.72
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,,,Movie,1.0,,,,,7.72
Ueki no Housoku,,,TV,5.0,,,,,7.72
Xingchen Bian 5th Season,,,ONA,2.0,,,,,7.72
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",,,OVA,1.0,,,,,7.72
Kidou Senshi Gundam SEED Freedom,,,Movie,1.0,,,,,7.72
Kyou kara Maou! 3rd Series,,,TV,3.0,,,,,7.72
Kyoukai no Kanata,,,TV,1.0,,,,,7.72
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,,,Movie,1.0,,,,,7.72
Memories,,,Movie,3.0,,,,,7.72
Mujin Wakusei Survive,,,TV,5.0,,,,,7.72
Neko no Ongaeshi,,,Movie,1.0,,,,,7.72
Jinrui wa Suitai Shimashita,,,TV,1.0,,,,,7.71
Karasu wa Aruji wo Erabanai,,,TV,2.0,,,,,7.71
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",,,Special,1.0,,,,,7.71
Kuroko no Basket 2nd Season NG-shuu,,,Special,9.0,,,,,7.71
Monsters: Ippyaku Sanjou Hiryuu Jigoku,,,ONA,1.0,,,,,7.71
Noragami OVA,,,OVA,2.0,,,,,7.71
Ojamajo Doremi Dokkaan!,,,TV,5.0,,,,,7.71
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,,,Movie,1.0,,,,,7.71
Rozen Maiden: Ouvertüre,,,TV,,,,,,7.71
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",,,OVA,1.0,,,,,7.71
Arakawa Under the Bridge x Bridge,,,TV,1.0,,,,,7.71
BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,,,ONA,2.0,,,,,7.71
Berserk: Ougon Jidai-hen I - Haou no Tamago,,,Movie,1.0,,,,,7.71
Chi's Sweet Home: Atarashii Ouchi,,,TV,1.0,,,,,7.71
Daicon Opening Animations,,,Special,2.0,,,,,7.71
Death Note: Rewrite,,,TV,,,,,,7.71
Enen no Shouboutai,,,TV,2.0,,,,,7.71
Final Fantasy VII: Advent Children,,,Movie,1.0,,,,,7.71
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",,,TV,1.0,,,,,7.71
Tegamibachi Reverse,,,TV,2.0,,,,,7.71
Tenshi no Tamago,,,OVA,1.0,,,,,7.71
Tsuki ga Michibiku Isekai Douchuu,,,TV,1.0,,,,,7.71
Urusei Yatsura,,,TV,1.0,,,,,7.71
Ushiro no Shoumen Daare,,,Movie,1.0,,,,,7.71
Yamato Nadeshiko Shichihenge♥,,,TV,2.0,,,,,7.71
Tetsuwan Birdy Decode:02,,,TV,1.0,,,,,7.70
Uramichi Oniisan,,,TV,1.0,,,,,7.70
Joshikousei no Mudazukai,,,TV,1.0,,,,,7.70
Keroro Gunsou,,,TV,3.0,,,,,7.70
Kyousou Giga (TV),,,TV,1.0,,,,,7.70
Macross Plus,,,OVA,4.0,,,,,7.70
Macross Plus Movie Edition,,,Movie,1.0,,,,,7.70
Meitantei Conan Movie 16: 11-ninme no Striker,,,Movie,1.0,,,,,7.70
New Game!!,,,TV,1.0,,,,,7.70
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,,,TV,,,,,,7.70
One Punch Man Specials,,,Special,6.0,,,,,7.70
One Punch Man: Road to Hero,,,OVA,1.0,,,,,7.70
Princess Principal: Crown Handler Movie 2,,,Movie,1.0,,,,,7.70
Psycho-Pass Movie,,,Movie,1.0,,,,,7.70
School Rumble: Ichi Gakki Hoshuu,,,OVA,2.0,,,,,7.70
Ai no Utagoe wo Kikasete,,,Movie,1.0,,,,,7.70
BanG Dream! Film Live,,,Movie,1.0,,,,,7.70
BanG Dream! Garupa☆Pico Fever!,,,ONA,2.0,,,,,7.70
Break Blade Movie 2: Ketsubetsu no Michi,,,Movie,1.0,,,,,7.70
Chuunibyou demo Koi ga Shitai!,,,TV,1.0,,,,,7.70
Doraemon (2005),,,TV,,,,,,7.70
Dragon Ball Kai (2014),,,TV,6.0,,,,,7.70
Gekkan Shoujo Nozaki-kun Specials,,,Special,6.0,,,,,7.70
Haikyuu!! Lev Genzan!,,,OVA,1.0,,,,,7.70
Ani ni Tsukeru Kusuri wa Nai! 3,,,TV,1.0,,,,,7.69
Asagao to Kase-san.,,,OVA,1.0,,,,,7.69
Bakuten!! Movie,,,Movie,1.0,,,,,7.69
Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,,,Movie,1.0,,,,,7.69
Date A Live V,,,TV,1.0,,,,,7.69
Fruits Basket,,,TV,2.0,,,,,7.69
Hakumei to Mikochi,,,TV,1.0,,,,,7.69
Hanasakeru Seishounen,,,TV,3.0,,,,,7.69
Hourou Musuko,,,TV,1.0,,,,,7.69
IDOLiSH7,,,TV,1.0,,,,,7.69
Shigatsu wa Kimi no Uso: Moments,,,OVA,1.0,,,,,7.69
The iDOLM@STER Cinderella Girls: U149,,,TV,1.0,,,,,7.69
Tiger & Bunny Movie 2: The Rising,,,Movie,1.0,,,,,7.69
Watashi no Ashinaga Ojisan,,,TV,4.0,,,,,7.69
Wu Dong Qian Kun 2nd Season,,,ONA,1.0,,,,,7.69
Junjou Romantica OVA,,,OVA,2.0,,,,,7.69
Karakai Jouzu no Takagi-san,,,TV,1.0,,,,,7.69
Kitarou Tanjou: Gegege no Nazo,,,Movie,1.0,,,,,7.69
Nurarihyon no Mago OVA,,,OVA,2.0,,,,,7.69
Pokemon Concierge,,,ONA,4.0,,,,,7.69
Junjou Romantica 2,,,TV,1.0,,,,,7.68
Kakushigoto Movie,,,Movie,1.0,,,,,7.68
Kidou Keisatsu Patlabor: On Television,,,TV,4.0,,,,,7.68
Kill la Kill Specials,,,Special,2.0,,,,,7.68
Koutetsujou no Kabaneri Movie 3: Unato Kessen,,,Movie,1.0,,,,,7.68
Little Busters! EX,,,Special,8.0,,,,,7.68
Love Live! Superstar!! 2nd Season,,,TV,1.0,,,,,7.68
Mahouka Koukou no Rettousei: Tsuioku-hen,,,TV,,,,,,7.68
Meitantei Conan Movie 21: Karakurenai no Love Letter,,,Movie,1.0,,,,,7.68
Muumindani no Suisei,,,Movie,1.0,,,,,7.68
Naruto: Shippuuden Movie 6 - Road to Ninja,,,Movie,1.0,,,,,7.68
Overlord Movie 2: Shikkoku no Eiyuu,,,Movie,1.0,,,,,7.68
Princess Principal,,,TV,1.0,,,,,7.68
Princess Sara,,,TV,4.0,,,,,7.68
Seitokai Yakuindomo*,,,TV,1.0,,,,,7.68
Aria the Animation,,,TV,1.0,,,,,7.68
D.Gray-man Hallow,,,TV,1.0,,,,,7.68
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",,,TV,1.0,,,,,7.68
Hakuouki Movie 2: Shikon Soukyuu,,,Movie,1.0,,,,,7.68
Ichigo Mashimaro Encore,,,OVA,2.0,,,,,7.68
Isekai Shokudou 2,,,TV,1.0,,,,,7.68
Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,,,Movie,1.0,,,,,7.68
Uchuu Kaizoku Captain Herlock,,,TV,4.0,,,,,7.68
Xingchen Bian: Po Tian Mi Ju,,,ONA,1.0,,,,,7.68
Yao Shen Ji 6th Season,,,ONA,5.0,,,,,7.68
"Yuru Yuri,",,,OVA,1.0,,,,,7.68
Shin Kidou Senki Gundam Wing,,,TV,4.0,,,,,7.67
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,,,TV,1.0,,,,,7.67
Soukou Kihei Votoms,,,TV,5.0,,,,,7.67
Space Cobra,,,TV,3.0,,,,,7.67
Tsurune: Kazemai Koukou Kyuudou-bu,,,TV,1.0,,,,,7.67
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,,,TV,6.0,,,,,7.67
Kami nomi zo Shiru Sekai: Tenri-hen,,,OVA,2.0,,,,,7.67
Kanojo to Kanojo no Neko: Everything Flows,,,TV,4.0,,,,,7.67
Kengan Ashura Part 2,,,ONA,1.0,,,,,7.67
Kidou Senshi Gundam: Gyakushuu no Char,,,Movie,1.0,,,,,7.67
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,,,Movie,1.0,,,,,7.67
Kuroko no Basket 3rd Season NG-shuu,,,Special,9.0,,,,,7.67
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,,,TV,1.0,,,,,7.67
Luo Xiao Hei Zhan Ji,,,ONA,2.0,,,,,7.67
Macross F: Close Encounter - Deculture Edition,,,Special,1.0,,,,,7.67
Meitantei Conan Movie 17: Zekkai no Private Eye,,,Movie,1.0,,,,,7.67
Oniichan wa Oshimai!,,,TV,1.0,,,,,7.67
Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,,,Special,2.0,,,,,7.67
3D Kanojo: Real Girl 2nd Season,,,TV,1.0,,,,,7.67
Baka to Test to Shoukanjuu Ni!,,,TV,1.0,,,,,7.67
Break Blade Movie 6: Doukoku no Toride,,,Movie,1.0,,,,,7.67
Chi's Sweet Home,,,TV,1.0,,,,,7.67
Doupo Cangqiong 2nd Season Specials,,,ONA,3.0,,,,,7.67
Ichigo Mashimaro OVA,,,OVA,3.0,,,,,7.67
InuYasha Movie 2: Kagami no Naka no Mugenjou,,,Movie,1.0,,,,,7.67
ACCA: 13-ku Kansatsu-ka,,,TV,1.0,,,,,7.66
Akebi-chan no Sailor-fuku,,,TV,1.0,,,,,7.66
Aoi Bungaku Series,,,TV,1.0,,,,,7.66
Binbougami ga!,,,TV,1.0,,,,,7.66
Bungou Stray Dogs: Hitori Ayumu,,,OVA,1.0,,,,,7.66
Cardcaptor Sakura: Clear Card-hen,,,TV,2.0,,,,,7.66
Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,,,Movie,1.0,,,,,7.66
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,,,Special,1.0,,,,,7.66
Hanma Baki: Son of Ogre,,,ONA,1.0,,,,,7.66
Hayate no Gotoku!!,,,TV,2.0,,,,,7.66
Initial D Battle Stage 2,,,OVA,1.0,,,,,7.66
Shirobako Movie,,,Movie,1.0,,,,,7.66
Shoujo Kakumei Utena: Adolescence Mokushiroku,,,Movie,1.0,,,,,7.66
Shoujo☆Kageki Revue Starlight,,,TV,1.0,,,,,7.66
Tenkuu no Escaflowne,,,TV,2.0,,,,,7.66
Toaru Kagaku no Railgun,,,TV,2.0,,,,,7.66
Kindaichi Shounen no Jikenbo Returns 2nd Season,,,TV,2.0,,,,,7.66
Kui Cheng Shoufu Cong Youxi Kaishi,,,ONA,1.0,,,,,7.66
Mousou Dairinin,,,TV,1.0,,,,,7.66
Pokemon Movie 01: Mewtwo no Gyakushuu,,,Movie,1.0,,,,,7.66
Rilakkuma to Kaoru-san,,,ONA,1.0,,,,,7.66
Rurouni Kenshin DVD-BOX Special Ending,,,Special,1.0,,,,,7.66
Seto no Hanayome,,,TV,2.0,,,,,7.66
Kimi to Boku.,,,TV,1.0,,,,,7.65
Kuroko no Basket NG-shuu,,,Special,9.0,,,,,7.65
Kuroshitsuji,,,TV,2.0,,,,,7.65
Mahou Shoujo ni Akogarete,,,TV,1.0,,,,,7.65
Meitantei Conan Movie 10: Tantei-tachi no Requiem Recap,,,TV,,,,,,7.65
Mitsudomoe Zouryouchuu!,,,TV,8.0,,,,,7.65
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,,,OVA,1.0,,,,,7.65
Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime,,,ONA,1.0,,,,,7.65
Non Non Biyori: Okinawa e Ikukoto ni Natta,,,OVA,1.0,,,,,7.65
Seikai no Senki,,,TV,1.0,,,,,7.65
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,,,TV,1.0,,,,,7.65
Ansatsu Kyoushitsu: Kagaijugyou-hen,,,ONA,8.0,,,,,7.65
Arslan Senki (TV),,,TV,2.0,,,,,7.65
Bokura wa Minna Kawai-sou,,,TV,1.0,,,,,7.65
Code Geass: Hangyaku no Lelouch II - Handou,,,Movie,1.0,,,,,7.65
Dekiru Neko wa Kyou mo Yuuutsu,,,TV,1.0,,,,,7.65
Evangelion Movie 3: Q,,,Movie,1.0,,,,,7.65
Fairy Tail (2014),,,TV,1.0,,,,,7.65
Free! Movie 2: Timeless Medley - Yakusoku,,,Movie,1.0,,,,,7.65
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,,,Special,1.0,,,,,7.65
