Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama.: Silver Soul Arc - Second Half War,Gintama.: Silver Soul Arc 2,TV,14.0,"Action, Comedy, Sci-Fi",24.0,"Jul 9, 2018 to Oct 8, 2018",Crunchyroll,8.88
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Attack on Titan: Final Season - The Final Chapters,"Shingeki no Kyojin: The Final Season Part 3, Shingeki no Kyojin Season 4, Attack on Titan Season 4",TV Special,2.0,"Action, Drama, Suspense",25.0,"Mar 4, 2023 to Nov 5, 2023",,8.88
Owarimonogatari 2nd Season,Owarimonogatari Second Season,End Story 2nd Season,TV Special,7.0,"Comedy, Mystery, Supernatural",26.0,"Aug 12, 2017 to Aug 13, 2017",,8.87
Violet Evergarden Movie,Violet Evergarden: The Movie,Gekijouban Violet Evergarden,Movie,1.0,"Award Winning, Drama, Fantasy",27.0,"Sep 18, 2020",Netflix,8.86
Kimi no Na wa.,Your Name.,,Movie,1.0,"Award Winning, Drama, Supernatural",28.0,"Aug 26, 2016",Netflix,8.83
Kingdom 3rd Season,Kingdom: Season 3,,TV,26.0,,29.0,"Apr 6, 2020 to Oct 17, 2021","Crunchyroll, Anime Digital Network, Aniplus Asia, Aniplus TV, Bahamut Anime Crazy, Starzplay",8.82
Vinland Saga Season 2,Vinland Saga Season 2,,TV,24.0,"Action, Adventure, Drama",30.0,"Jan 10, 2023 to Jun 20, 2023","Crunchyroll, Netflix",8.81
Shiguang Dailiren,Link Click,"時光代理人, Jikou Dairinin, Shi Guang Dai Li Ren",ONA,11.0,"Drama, Mystery, Supernatural, Suspense",51.0,"Apr 30, 2021 to Jul 9, 2021",Crunchyroll,8.73
Ashita no Joe 2,Tomorrow's Joe 2,Rocky Joe 2,TV,47.0,"Drama, Sports",52.0,"Oct 13, 1980 to Aug 31, 1981",,8.72
Look Back,,,Movie,1.0,,53.0,"Jun 28, 2024",,8.72
Mushishi Zoku Shou 2nd Season,Mushi-shi: Next Passage Part 2,Mushishi Zoku Shou 2nd Season,TV,10.0,"Adventure, Mystery, Slice of Life, Supernatural",54.0,"Oct 19, 2014 to Dec 21, 2014",Crunchyroll,8.72
One Piece,One Piece,OP,TV,,"Action, Adventure, Fantasy",55.0,"Oct 20, 1999 to ?","Crunchyroll, Netflix, Shahid",8.72
Mob Psycho 100 III,Mob Psycho 100 III,"Mob Psycho 100 3rd Season, Mob Psycho Hyaku, Mob Psycho One Hundred",TV,12.0,"Action, Comedy, Supernatural",56.0,"Oct 6, 2022 to Dec 22, 2022","Crunchyroll, Netflix, Bahamut Anime Crazy, Bilibili, Bilibili Global, Laftel",8.71
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,"Shouwa Genroku Rakugo Shinjuu 2nd Season, Showa and Genroku Era Lover's Suicide Through Rakugo 2nd Season",TV,12.0,,57.0,"Jan 7, 2017 to Mar 25, 2017",Crunchyroll,8.71
86 Part 2,86 Eighty-Six Part 2,,TV,12.0,"Action, Drama, Sci-Fi",58.0,"Oct 3, 2021 to Mar 19, 2022",Crunchyroll,8.71
Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,,TV,25.0,"Action, Award Winning, Drama, Sci-Fi",59.0,"Oct 6, 2006 to Jul 29, 2007","Crunchyroll, Netflix",8.70
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,"Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Reminiscence",OVA,4.0,"Action, Drama, Romance",60.0,"Feb 20, 1999 to Sep 22, 1999",,8.70
Mushishi Zoku Shou,Mushi-shi: Next Passage Part 1,"Mushi-shi Zoku Shou, Mushishi: The Next Chapter",TV,10.0,"Adventure, Mystery, Slice of Life, Supernatural",61.0,"Apr 5, 2014 to Jun 21, 2014",Crunchyroll,8.69
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Bleach: Thousand-Year Blood War Arc Part 2,TV,13.0,"Action, Adventure, Fantasy",62.0,"Jul 8, 2023 to Sep 30, 2023","Disney+, Ani-One Asia, Bahamut Anime Crazy, Bilibili Global, CatchPlay, Hulu",8.69
Great Teacher Onizuka,Great Teacher Onizuka,"GTO, GTO - The Animation",TV,43.0,,63.0,"Jun 30, 1999 to Sep 17, 2000","Crunchyroll, Netflix",8.69
Mo Dao Zu Shi: Wanjie Pian,The Founder of Diabolism Season 3,"Grandmaster of Demonic Cultivation 3, The Founder of Diabolism 3, Mo Dao Zu Shi 3rd Season, Mo Dao Zu Shi Final Arc",ONA,12.0,"Action, Adventure, Drama, Fantasy, Mystery",64.0,"Aug 7, 2021 to Oct 16, 2021",,8.68
Violet Evergarden,Violet Evergarden,,TV,13.0,"Drama, Fantasy",65.0,"Jan 11, 2018 to Apr 5, 2018",Netflix,8.68
Tian Guan Cifu Er,Heaven Official's Blessing Season 2,"Tian Guan Cifu 2nd Season, Tian Guan Ci Fu",ONA,12.0,"Action, Adventure, Drama, Fantasy",66.0,"Oct 18, 2023 to Jan 17, 2024",Crunchyroll,8.67
Hajime no Ippo: New Challenger,Fighting Spirit: New Challenger,"Hajime no Ippo New Series, Hajime no Ippo Season II, Hajime no Ippo 2",TV,26.0,,67.0,"Jan 7, 2009 to Jul 1, 2009",,8.67
